Designator,Footprint,Quantity,Value,LCSC Part #
"BOOT1, EN1",SW_PUSH_6mm_H5mm,2,SW_SPST,
BT1,BatteryHolder_TruPower_BH-331P_3xAA,1,4.5V,
C1,1206,1,10uF,
C10,1206,1,0.1u,
C2,CP_EIA-3528-12_Kemet-T,1,10uF,
C3,1206,1,22uF/10V,
C4,1206,1,0.1uF/50V,
"C6, C7",1206,2,1n,
"C8, C9",1206,2,22p,
D1,1206,1,D,
"H1, H2, H3, H4",MountingHole_3.5mm_Pad,4,MountingHole_Pad,
J1,JST_XH_B2B-XH-A_1x02_P2.50mm_Vertical,1,POWER_SWITCH_CONNECTOR,
"J2, J3, J4, J5",Jack_3.5mm_CUI_SJ1-3523N_Horizontal,4,AudioJack3,
J6,JST_XH_B4B-XH-A_1x04_P2.50mm_Vertical,1,I2C_OLED,
J7,JST_XH_B2B-XH-A_1x02_P2.50mm_Vertical,1,MODE_SWITCH_CONNECTOR,
J8,JST_XH_B2B-XH-A_1x02_P2.50mm_Vertical,1,BUZZER,
J9,USB_Micro-B_Amphenol_10103594-0001LF_Horizontal,1,USB_B_Micro,
"Q1, Q2",SOT-23,2,Q_NPN_CBE,
"R1, R12",1206,2,470,
"R10, R7, R8, R9",1206,4,165Ω,
"R13, R14, R15, R16, R2, R3, R4, R5, R6",1206,9,10k,
"R17, R18",1206,2,1k,
U1,SOT-223-3_TabPin2,1,AMS1117-3.3,
U2,ESP32-WROOM-32,1,ESP32-WROOM-32,
U3,SOIC-16_3.9x9.9mm_P1.27mm,1,CH340G,
Y1,Crystal_HC49-U_Vertical,1,12MHz,
